tinh,MAE_group
Ha Tay,14244.048455063137
Lao Cai,14637.419327769252
Phu Tho,19575.23702086942
Lai Chau,15246.352899918715
Dien Bien,19862.322651072114
Nghe An,11347.644275631214
Quang Nam,13179.69786630125
Khanh Hoa,13084.058554325271
Dak Lak,34993.19244125175
Dak Nong,63868.541479883344
Lam Dong,40263.478143877684
Long An,25233.20093689705
