tinh,MAE_group
Ha Tay,14539.363811677402
Lao Cai,16983.06153120738
Phu Tho,20165.317999449784
Lai Chau,19523.274305229836
Dien Bien,22463.053921774863
Nghe An,8745.880094453156
Quang Nam,11569.433189528927
Khanh Hoa,13609.19230403547
Dak Lak,44818.87061621472
Dak Nong,77848.064065198
Lam Dong,60086.459822355915
Long An,29502.59469231566
