tinh,MAE_group
Ha Tay,16220.214879903824
Lao Cai,49043.65912904035
Phu Tho,23795.763040265054
Lai Chau,55219.54517856212
Dien Bien,45639.992239531486
Nghe An,18112.344187012746
Quang Nam,14162.751817492504
Khanh Hoa,18670.60398885844
Dak Lak,64200.6016213959
Dak Nong,85792.50209796186
Lam Dong,68517.60209175145
Long An,45591.29834323774
