tinh,MAE_group
Ha Tay,15130.536275384316
Lao Cai,51452.6474386716
Phu Tho,40473.44903691023
Lai Chau,24598.574291173547
Dien Bien,37572.89850610576
Nghe An,11292.092661338134
Quang Nam,13243.83262096224
Khanh Hoa,16813.910986213778
Dak Lak,202947.01093303345
Dak Nong,129163.41020069388
Lam Dong,325536.4172087341
Long An,38090.72714969008
