tinh,MAE_group
Ha Tay,15030.08068254957
Lao Cai,68936.14051179509
Phu Tho,23504.62675697811
Lai Chau,25655.256993561256
Dien Bien,27644.770848710505
Nghe An,9152.420401497631
Quang Nam,13907.640250556538
Khanh Hoa,16355.42388143687
Dak Lak,69044.40584985969
Dak Nong,85062.33511496846
Lam Dong,143710.79046530675
Long An,30506.75065801261
