tinh,MAE_group
Ha Tay,16769.134595750173
Lao Cai,23606.328940489362
Phu Tho,24228.042858256966
Lai Chau,30050.9011634012
Dien Bien,30964.60262679073
Nghe An,11459.941073058028
Quang Nam,15106.009831236559
Khanh Hoa,14481.177457375992
Dak Lak,57819.959875698354
Dak Nong,91954.39191473891
Lam Dong,72208.95087458471
Long An,36220.75181920232
