tinh,MAE_group
Ha Tay,15570.223317085502
Lao Cai,26050.161903144286
Phu Tho,20431.187082465975
Lai Chau,16459.106838578624
Dien Bien,19505.0059059148
Nghe An,8819.043778299476
Quang Nam,12764.113103914859
Khanh Hoa,17238.437025085594
Dak Lak,39928.863206797134
Dak Nong,58969.36343666338
Lam Dong,47762.41597739174
Long An,27433.7554840357
