tinh,MAE_group
Ha Tay,15541.036161803935
Lao Cai,33811.154170247224
Phu Tho,52320.95403167987
Lai Chau,23940.278662998873
Dien Bien,44869.09344399923
Nghe An,11646.778860724346
Quang Nam,13166.203363512683
Khanh Hoa,16739.17336220234
Dak Lak,187388.38550304488
Dak Nong,150761.67181711658
Lam Dong,271526.8214977576
Long An,36530.23541112295
