tinh,MAE_group
Ha Tay,14482.012725153634
Lao Cai,20868.870268893483
Phu Tho,21154.561655051002
Lai Chau,17353.41094181361
Dien Bien,21778.986569834866
Nghe An,8869.016155010548
Quang Nam,12144.964844445316
Khanh Hoa,12662.204811457477
Dak Lak,51479.91321538526
Dak Nong,60693.21896600311
Lam Dong,83297.16741755458
Long An,26418.758088371997
