tinh,MAE_group
Ha Tay,13061.899316890109
Lao Cai,15125.803880573465
Phu Tho,18446.874444781137
Lai Chau,13386.123567368044
Dien Bien,19469.68439573916
Nghe An,8286.75978106797
Quang Nam,10789.43754002846
Khanh Hoa,13179.816878129852
Dak Lak,36059.85780011317
Dak Nong,51145.67472122415
Lam Dong,36369.269460816126
Long An,25519.88095545019
